;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
6;Lake Iznik;21654;7,648509915;2,278116641;18,70883548;6,717982141;0,170871675;3,151385661;13,64294275;4,544297149;18,15138566;13,64294275;3,708835483;6,717982141;12,39215998;2,372186093;22,43021511;10,01997389;23,14046095;21,28864432;25,01550775;1,851816632;4,250837919;1,796898449;6,739369685;2,45393947
6;Lake Iznik;22793;7,197983961;2,736083143;20,63893093;7,140018717;-0,15677172;4,025733635;15,02079569;4,883158543;19,02573364;15,02079569;5,638930926;7,140018717;12,84700981;2,820410205;22,85042521;10,02659961;22,67098515;20,68834417;24,64032016;1,982640975;3,8090477;1,226613307;6,35917959;2,582434394
7;Lago Grande di Monticchio;18693;7,930655525;3,965426284;12,72958615;5,998752633;-5,320482055;5,653638171;8,185896206;3,972578788;20,65363817;8,185896206;-2,270413852;5,998752633;9,614153771;0,859429715;18,36818409;8,754724056;23,4349081;21,46373187;25,39069535;1,971176232;0,608098406;-3,183591796;4,420210105;3,791690202
7;Lago Grande di Monticchio;18693,83;7,318954594;4,093952681;13,19230258;5,998337682;-4,828062494;5,151099722;8,411124442;3,972247614;20,15109972;8,411124442;-1,807697419;5,998337682;9,773142718;1,475737869;18,06003002;8,297404849;23,13092228;21,5887944;24,66533267;1,542127883;4,225091326;1,948974487;6,511255628;2,276116839
7;Lago Grande di Monticchio;18826,86;5,900506555;2,558393641;10,44982077;5,998176969;-5,50168999;3,54506047;6,698469778;3,972320207;18,54506047;6,698469778;-4,550179228;5,998176969;12,39416011;5,48174087;19,29264632;6,91241924;22,46620579;21,11355678;23,81490745;1,352649016;4,401624146;2,671335668;6,169084542;1,730288478
7;Lago Grande di Monticchio;19046;7,318954594;4,093952681;13,19230258;5,998337682;-4,828062494;5,151099722;8,411124442;3,972247614;20,15109972;8,411124442;-1,807697419;5,998337682;9,773142718;1,475737869;18,06003002;8,297404849;23,13092228;21,5887944;24,66533267;1,542127883;4,225091326;1,948974487;6,511255628;2,276116839
7;Lago Grande di Monticchio;19059,73;-3,853365874;4,514753954;11,60196083;5,999064343;-17,07007639;6,49389646;7,42476391;3,972873287;21,49389646;7,42476391;-3,398039172;5,999064343;11,20845816;2,512256128;19,90895448;8,696202032;23,41806851;21,28864432;25,56578289;2,129424187;-2,593821798;-6,111055528;0,96048024;3,51723373
7;Lago Grande di Monticchio;19182;5,900506555;2,558393641;10,44982077;5,998176969;-5,50168999;3,54506047;6,698469778;3,972320207;18,54506047;6,698469778;-4,550179228;5,998176969;12,39416011;5,48174087;19,29264632;6,91241924;22,46620579;21,11355678;23,81490745;1,352649016;4,401624146;2,671335668;6,169084542;1,730288478
7;Lago Grande di Monticchio;19281;-3,853365874;4,514753954;11,60196083;5,999064343;-17,07007639;6,49389646;7,42476391;3,972873287;21,49389646;7,42476391;-3,398039172;5,999064343;11,20845816;2,512256128;19,90895448;8,696202032;23,41806851;21,28864432;25,56578289;2,129424187;-2,593821798;-6,111055528;0,96048024;3,51723373
7;Lago Grande di Monticchio;19365,44;8,811882068;2,936865771;11,17101321;5,998043162;0,005716681;3,084056641;7,193502142;3,972129286;18,08405664;7,193502142;-3,828986785;5,998043162;12,28726199;3,296648324;21,25362681;8,990613666;23,12431136;21,48874437;24,74037019;1,635566983;3,942075201;1,682841421;6,169084542;2,25923378
