Place;Biome;Deg_Lon;Deg_Lat;altitude;TANN;PANN;MTCO;MTWA
EPDcoretop_E2357;TEFO;9.75;46.45;1645;-1.70573355009157;1375.762482;-11.0032507578531;7.21600341796875
EPDcoretop_E2359;TEFO;6.23;46.54;15;7.26000190898774;1617.030895;-0.408912137150764;15.0711151758829
EPDcoretop_E2360;TEFO;6.23;46.55;33;6.48596142729122;1683.64666;-0.995522975921629;14.1360232035319
EPDcoretop_E2361;TEFO;6.23;46.55;1;6.48596142729122;1683.64666;-0.995522975921629;14.1360232035319
EPDcoretop_E2362;TEFO;8.08;47.09;2;8.01826483632127;1555.293918;-0.0189916839202247;16.1500695546468
EPDcoretop_E2363;TEFO;35.33;68.83;-94;-0.728193522741395;624.2441332;-10.480406443278;10.1143245697021
EPDcoretop_E2369;TEFO;32.03;56.29;380;5.09204885860283;805.4531085;-6.54841343561808;16.8374449412028
EPDcoretop_E237;TEFO;-0.833333;48.516667;380;10.5997608502706;851.9697618;4.60001500447591;16.8411858876546
EPDcoretop_E2375;TEFO;-6.26;54.78;505;9.00379029909768;940.0749135;4.49657535552978;13.9365501403808
EPDcoretop_E2376;WTFO;-7.3;53.32;2150;9.6460262139638;874.971664;5.01255702972412;14.8216282526651
EPDcoretop_E2381;TUND;18.17;68.17;720;-4.59272654851276;1251.970525;-12.8683468500773;5.41377274195353
EPDcoretop_E2395;TEFO;22.66;47.11;38;8.89750327169893;839.3232715;-1.41190872589747;18.6557502746581
EPDcoretop_E24;TEFO;27.45;58.166667;860;5.90718309084572;694.5599627;-4.82223447163899;17.1812305450439
EPDcoretop_E240;TEFO;-0.191667;48.444444;225;10.4385903875033;782.2341585;4.17936205863952;16.9842634201049
EPDcoretop_E2403;TEFO;23.14;46.47;317;5.57868790129818;1216.241637;-3.96833078066508;14.7766389846801
EPDcoretop_E2405;TEFO;22.8;45.33;-9;3.42388600856065;1314.542677;-5.42480913798014;12.2749802271525
EPDcoretop_E242;TEFO;13.9;47.116667;105;2.88880797227223;1169.325596;-6.24605369567871;11.9263299306233
EPDcoretop_E243;TUND;17.363333;52.319444;6;8.68212762723365;634.5321393;-0.653329243262606;18.0613625844319
EPDcoretop_E2470;WTFO;-4.03;40.84;1850;9.02966915567713;757.9686767;1.66201126575469;17.6413606007893
EPDcoretop_E2479;WTFO;-4.03;40.85;1800;8.59889151155947;800.0148797;1.34276451667149;17.0437091191609
EPDcoretop_E2480;WTFO;-4.06;40.86;40;10.1341469486554;750.0299424;2.4810082912445;18.9277343749999
EPDcoretop_E2489;STEP;35.39;31.42;664;22.8222611745198;143.2729276;15.1462345123291;29.5849253336588
EPDcoretop_E2493;WTFO;20.78;39.99;664;9.31314764668542;1095.916623;0.401830921570458;18.6364065806071
EPDcoretop_E2494;TEFO;20.42;48.34;183;8.95983487367628;751.5983748;-1.6178518931071;19.0674940745035
EPDcoretop_E2499;TEFO;8.77;53.66;425;9.26506091157592;941.0641766;2.17232088247934;16.518086751302
EPDcoretop_E25;TEFO;15.966667;49.733333;526;6.77765585978824;824.304235;-2.35073761145273;15.7156686782836
EPDcoretop_E2500;TEFO;8.78;53.66;17;9.26506091157592;941.0641766;2.17232088247934;16.518086751302
EPDcoretop_E2505;TEFO;8.77;53.66;5;9.26506091157592;941.0641766;2.17232088247934;16.518086751302
EPDcoretop_E2520;TEFO;8.72;53.67;860;9.31329708298045;979.9175334;2.29313822587331;16.4973154067993
EPDcoretop_E2524;TEFO;8.73;53.66;1380;9.31329708298045;979.9175334;2.29313822587331;16.4973154067993
EPDcoretop_E2526;TEFO;20.46;67.97;10;-1.52233949303627;642.3778081;-12.7123289108276;10.7813345591227
EPDcoretop_E2528;TEFO;18.07;68.44;1120;-3.06807283808786;1223.193462;-11.9393905003865;7.30281893412272
